HCPCS,MOD,DESCRIPTION,STATUS CODE,NOT USED FOR MEDICARE PAYMENT,WORK RVU,NON-FAC PE RVU,NON-FAC NA INDICATOR,FACILITY PE RVU,FACILITY NA INDICATOR,MP RVU,NON-FACILITY TOTAL,FACILITY TOTAL,PCTC IND,GLOB DAYS,PRE OP,INTRA OP,POST OP,MULT PROC,BILAT SURG,ASST SURG,CO-SURG,TEAM SURG,PRIC IND,ENDO BASE,CONV FACTOR,"PHYSICIAN
SUPERVISION OF
DIAGNOSTIC PROCEDURES",CALCULATION FLAG,"DIAGNOSTIC
IMAGING
FAMILY INDICATOR","PE USED
FOR OPPS
PAYMENT AMOUNT","PE USED
FOR OPPS
PAYMENT AMOUNT","MP USED
FOR OPPS
PAYMENT AMOUNT",NON-FACILITY TOTAL PRICE,FACILITY TOTAL PRICE
00626,,Anes thrc spine w/1 lng vent,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00630,,Anes px lumbar region nos,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00632,,Anes px lumbar sympathectomy,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00635,,Anes dx/ther lumbar pnxr,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00640,,Anes spine manipulation,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00670,,Anes xtnsv sp&spi cord px,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00700,,Anes px upr ant abd wall nos,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
00702,,Anes upr ant abd wall lvr bx,J,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
0071T,,Us leiomyomata ablate <200,C,,0.00,0.00,,0.00,,0.00,0.00,0.00,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
0072T,,Fcsd us abltj leiomyom>=200,C,,0.00,0.00,,0.00,,0.00,0.00,0.00,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00,0,0
