HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J1745,Infliximab not biosimil 10mg,10 MG,32.423,20.0,,,,,,,10.0,MG
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,77.538,20.0,,,,,,,10.0,MG
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,65.728,19.864,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1749,"Inj, iloprost, 0.1 mcg",0.1 MCG,5.713,20.0,,,,,,,0.1,MCG
J1750,Inj iron dextran,50 MG,18.081,20.0,,,,,,,50.0,MG
J1756,Iron sucrose injection,1 MG,0.236,20.0,,,,,,,1.0,MG
J1786,Imuglucerase injection,10 UNITS,43.232,20.0,,,,,,,1.0,ML
J1790,Droperidol injection,up to 5 MG,7.18,20.0,,,,,,,5.0,MG
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.212,20.0,,,,,,,10.0,MG
J1806,Inj esmolol hcl wg crit care,10 MG,0.41,20.0,,,,,,,10.0,MG
J1808,"Inj, folic acid, 0.1 mg",0.1 MG,0.053,20.0,,,,,,,0.1,MG
J1809,"Inj, fosdenopterin, 0.1mg",0.1 MG,17.238,20.0,,,,,,,0.1,MG
J1811,Fiasp for insulin pump use,50 UNITS,7.903,20.0,,,,,,,1.0,ML
J1813,Lyumjev for insulin pump use,50 UNITS,15.104,20.0,,,,,,,1.0,ML
J1817,Insulin for insulin pump use,50 UNITS,3.2,20.0,,,,,,,1.0,ML
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,495.545,20.0,,,,,,,1.0,MG
J1836,"Inj, metronidazole, 10 mg",10 MG,0.028,20.0,,,,,,,10.0,MG
J1837,"Inj, posaconazole, 1 mg",1 MG,0.346,20.0,,,,,,Added January 2026,1.0,MG
J1885,Ketorolac tromethamine inj,15 MG,0.333,20.0,,,,,,,15.0,MG
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.348,20.0,,,,,,,5.0,MG
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,1.09,20.0,,,,,,,5.0,MG
J1930,Lanreotide injection,1 MG,35.388,20.0,,,,,,,1.0,MG
J1931,Laronidase injection,0.1 MG,39.953,20.0,,,,,,,0.1,MG
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,38.217,20.0,,,,,,,1.0,MG
J1938,"Inj, furosemide, 1 mg",1 MG,0.019,20.0,,,,,,,1.0,MG
J1939,"Inj, bumetanide, 0.5 mg",0.5 MG,0.357,20.0,,,,,,,0.5,MG
J1943,"Inj., aristada initio, 1 mg",1 MG,3.245,20.0,,,,,,,1.0,MG
J1944,Aripiprazole lauroxil 1 mg,1 MG,3.341,20.0,,,,,,,1.0,MG
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1763.869,18.309,,,,,,Inflation-adjusted coinsurance,3.75,MG
J1951,Inj fensolvi 0.25 mg,0.25 MG,139.877,20.0,,,,,,,0.25,MG
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,57.034,20.0,,,,,,,1.0,MG
J1953,Levetiracetam injection,10 MG,0.039,20.0,,,,,,,10.0,MG
J1954,Inj leu acet lutr dpt 7.5 mg,7.5 MG,706.667,16.261,,,,,,Inflation-adjusted coinsurance,7.5,MG
J1955,Inj levocarnitine per 1 gm,1 GM,23.268,20.0,,,,,,,1.0,GM
J1956,Levofloxacin injection,250 MG,2.161,20.0,,,,,,,250.0,MG
J1961,Inj lenacapavir (hiv tx) 1mg,1 MG,22.298,20.0,,,,,,,1.0,MG
J2002,"Inj, lidocaine in d5w, 1 mg",1 MG,0.003,20.0,,,,,,,1.0,MG
